date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:54:27	22821/22821	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Aug%202022%2010:54:29%20GMT	https://hwidspoofer.com/	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/index.html	(from )
12:54:28	24/24	---M--	200	added ('OK')	text/plain	etag:%2262b79ae9-18%22	https://hwidspoofer.com/robots.txt		(from )
12:54:28	10848/10848	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-2a60%22	https://hwidspoofer.com/assets/icons/favicon.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/favicon.png	(from https://hwidspoofer.com/)
12:54:28	0/0	---M--	200	added ('OK')	text/css	etag:%2262b79ae9-0%22	https://hwidspoofer.com/css/app.css	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/css/app.css	(from https://hwidspoofer.com/)
12:54:28	144877/144877	---MCZ	200	added ('OK')	text/css	etag:W/%2262b79ae9-235ed%22	https://hwidspoofer.com/assets/css/bootstrap.min.css	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/css/bootstrap.min.css	(from https://hwidspoofer.com/)
12:54:28	45530/45530	---MCZ	200	added ('OK')	text/css	etag:W/%2262b79ae9-def3%22	https://hwidspoofer.com/assets/css/animate.css	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/css/animate.css	(from https://hwidspoofer.com/)
12:54:29	1179/1179	---MCZ	200	added ('OK')	text/css	etag:W/%2262b79ae9-5c5%22	https://hwidspoofer.com/assets/css/owl.carousel.css	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/css/owl.carousel.css	(from https://hwidspoofer.com/)
12:54:29	1153/1153	---MCZ	200	added ('OK')	text/css	etag:W/%2262b79ae9-682%22	https://hwidspoofer.com/assets/css/owl.theme.css	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/css/owl.theme.css	(from https://hwidspoofer.com/)
12:54:29	51304/51304	---MCZ	200	added ('OK')	text/css	etag:W/%2262b79ae9-c868%22	https://hwidspoofer.com/assets/css/ionicons.min.css	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/css/ionicons.min.css	(from https://hwidspoofer.com/)
12:54:29	22203/22203	---MCZ	200	added ('OK')	text/css	etag:W/%2262b79ae9-7727%22	https://hwidspoofer.com/assets/css/stylesheet.css	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/css/stylesheet.css	(from https://hwidspoofer.com/)
12:54:30	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2001%20Aug%202022%2010:54:31%20GMT	http://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.8.delayed	(from https://hwidspoofer.com/)
12:54:30	19295/19295	---M-Z	200	added ('OK')	application/x-javascript	etag:%225add60196e5f96a414fb4b9586764e5d%22	https://widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/widget.trustpilot.com/bootstrap/v5/tp.widget.bootstrap.min.js	(from https://hwidspoofer.com/)
12:54:30	13807/13807	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-35ef%22	https://hwidspoofer.com/assets/icons/logo-black.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/logo-black.png	(from https://hwidspoofer.com/)
12:54:31	477/477	---MC-	302	error ('Found')	text/html	date:Mon,%2001%20Aug%202022%2010:54:32%20GMT	https://hwidspoofer.com/download	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/download	(from https://hwidspoofer.com/)
12:54:31	33643/33643	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-836b%22	https://hwidspoofer.com/assets/images/head.png?v=2	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/images/head5e1f.png	(from https://hwidspoofer.com/)
12:54:31	477/477	---MC-	302	error ('Found')	text/html	date:Mon,%2001%20Aug%202022%2010:54:33%20GMT	https://hwidspoofer.com/download	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/download	(from https://hwidspoofer.com/)
12:54:31	313/313	---MC-	302	error ('Found')	text/html	date:Mon,%2001%20Aug%202022%2010:54:33%20GMT	https://hwidspoofer.com/discord	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/discord	(from https://hwidspoofer.com/)
12:54:32	11334/11334	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Aug%202022%2010:53:21%20GMT	https://discordapp.com/api/guilds/897551150960758865/widget.png?style=banner2	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/discordapp.com/api/guilds/897551150960758865/widget7c49.png	(from https://hwidspoofer.com/)
12:54:32	5192/5192	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-1448%22	https://hwidspoofer.com/assets/icons/cat1.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/cat1.png	(from https://hwidspoofer.com/)
12:54:32	13593/13593	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-3519%22	https://hwidspoofer.com/assets/icons/cat2.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/cat2.png	(from https://hwidspoofer.com/)
12:54:32	8485/8485	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-2125%22	https://hwidspoofer.com/assets/icons/cat3.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/cat3.png	(from https://hwidspoofer.com/)
12:54:33	110099/110099	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-1ae13%22	https://hwidspoofer.com/assets/images/support.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/images/support.png	(from https://hwidspoofer.com/)
12:54:33	318/318	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262b79ae9-13e%22	https://hwidspoofer.com/assets/icons/tick.svg	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/tick.svg	(from https://hwidspoofer.com/)
12:54:33	179097/179097	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-2bb99%22	https://hwidspoofer.com/assets/images/write.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/images/write.png	(from https://hwidspoofer.com/)
12:54:33	885/885	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262b79ae9-375%22	https://hwidspoofer.com/assets/icons/quote.svg	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/quote.svg	(from https://hwidspoofer.com/)
12:54:35	5250/5250	---M--	404	error ('Not%20Found')	image/png	date:Mon,%2001%20Aug%202022%2010:54:36%20GMT	https://media.publit.io/file/New-Project-10.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/media.publit.io/file/New-Project-10.17.delayed	(from https://hwidspoofer.com/)
12:54:35	5028/5028	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-13a4%22	https://hwidspoofer.com/assets/icons/customer.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/customer.png	(from https://hwidspoofer.com/)
12:54:35	82102/82102	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-140b6%22	https://hwidspoofer.com/assets/icons/xyll.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/xyll.png	(from https://hwidspoofer.com/)
12:54:36	623336/623336	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-982e8%22	https://hwidspoofer.com/assets/icons/focuz.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/focuz.png	(from https://hwidspoofer.com/)
12:54:36	173984/173984	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-2a7a0%22	https://hwidspoofer.com/assets/icons/rev3.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/rev3.png	(from https://hwidspoofer.com/)
12:54:36	9304/9304	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-2458%22	https://hwidspoofer.com/assets/icons/f1.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/f1.png	(from https://hwidspoofer.com/)
12:54:36	18024/18024	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-4668%22	https://hwidspoofer.com/assets/icons/f2.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/f2.png	(from https://hwidspoofer.com/)
12:54:37	17244/17244	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-435c%22	https://hwidspoofer.com/assets/icons/f3.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/f3.png	(from https://hwidspoofer.com/)
12:54:37	313/313	---MC-	302	error ('Found')	text/html	date:Mon,%2001%20Aug%202022%2010:54:39%20GMT	https://hwidspoofer.com/discord	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/discord	(from https://hwidspoofer.com/)
12:54:37	4311/4311	---M--	200	added ('OK')	image/png	etag:%2262b79ae9-10d7%22	https://hwidspoofer.com/assets/icons/i5.png	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/icons/i5.png	(from https://hwidspoofer.com/)
12:54:37	322126/322126	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b79ae9-c71bb%22	https://hwidspoofer.com/js/app.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/js/app.js	(from https://hwidspoofer.com/)
12:54:38	84239/84239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b79ae9-14915%22	https://hwidspoofer.com/assets/js/jquery-2.1.1.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/js/jquery-2.1.1.js	(from https://hwidspoofer.com/)
12:54:38	19197/19197	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b79ae9-4afd%22	https://hwidspoofer.com/assets/js/popper.min.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/js/popper.min.js	(from https://hwidspoofer.com/)
12:54:38	50564/50564	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b79ae9-c584%22	https://hwidspoofer.com/assets/js/bootstrap.min.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/js/bootstrap.min.js	(from https://hwidspoofer.com/)
12:54:38	23083/23083	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b79ae9-5a2b%22	https://hwidspoofer.com/assets/js/jquery.validate.min.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/js/jquery.validate.min.js	(from https://hwidspoofer.com/)
12:54:39	1675/1675	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b79ae9-cd2%22	https://hwidspoofer.com/assets/js/custom.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/js/custom.js	(from https://hwidspoofer.com/)
12:54:39	130592/130592	---MCZ	200	added ('OK')	application/javascript	etag:W/%2262b79ae9-23229%22	https://hwidspoofer.com/assets/js/plugins.js	C:/Users/Dvemon/Desktop/HwidSpoofer/Website/Website/hwidspoofer.com/assets/js/plugins.js	(from https://hwidspoofer.com/)
